世代,固定慣性項(w=0.75)平均,LDIWM(w_max=0.9→w_min=0.4)
78,114.14289505748984,121.62453329642311
79,114.13808443028142,121.62453329642311
80,114.13808443028142,121.62453329642311
81,113.81744177372487,121.62453329642311
82,113.81744177372487,121.62453329642311
83,113.15635215894724,121.62453329642311
84,113.15635215894724,121.62453329642311
85,113.15635215894724,121.62453329642311
86,111.18215635836036,121.62453329642311
87,111.18215635836036,121.62453329642311
88,110.73620995250428,121.62453329642311
89,110.73620995250428,121.62453329642311
90,110.69417665899236,121.62453329642311
91,110.69417665899236,121.62453329642311
92,110.69417665899236,121.62453329642311
93,110.69417665899236,121.62453329642311
94,110.24514794843078,121.62453329642311
95,110.12901126304305,121.62453329642311
96,108.60342141707102,121.62453329642311
97,108.60342141707102,121.62453329642311
98,108.60342141707102,121.62453329642311
99,108.60342141707102,121.62453329642311
100,107.25665399487181,121.62453329642311
101,107.25665399487181,121.62453329642311
102,107.25665399487181,121.62453329642311
103,107.25665399487181,121.62453329642311
104,105.93898961108125,121.62453329642311
105,105.93898961108125,109.46681024316229
106,105.93898961108125,109.46681024316229
107,105.93898961108125,109.46681024316229
108,105.35080203575087,109.46681024316229
109,105.22767718484901,109.46681024316229
110,105.22767718484901,109.46681024316229
111,105.22767718484901,109.46681024316229
112,104.75682670937229,109.46681024316229
113,104.75682670937229,109.46681024316229
114,104.65720010854348,109.46681024316229
115,104.65720010854348,109.46681024316229
116,104.65720010854348,109.46681024316229
117,104.57791448277683,109.46681024316229
118,104.17972312734534,109.46681024316229
119,103.57963766243958,109.46681024316229
120,103.39728252207763,109.46681024316229
121,102.58828864820707,109.46681024316229
122,102.47356870974481,109.46681024316229
123,102.47356870974481,109.46681024316229
124,102.07373146063978,109.46681024316229
125,101.87670601881095,109.46681024316229
126,101.76187574226466,109.46681024316229
127,101.3313499112231,109.46681024316229
128,101.3313499112231,109.46681024316229
129,101.10794023620322,109.46681024316229
130,98.9800718640515,109.46681024316229
131,98.31854777431445,109.46681024316229
132,97.44908092082457,109.46681024316229
133,96.18574174405987,109.46681024316229
134,96.13924682680026,109.46681024316229
135,95.94200080389217,109.46681024316229
136,95.67857543587449,109.46681024316229
137,95.51132120182567,109.46681024316229
138,94.65644914939018,109.46681024316229
139,94.35876852492794,109.46681024316229
140,94.1682439323055,109.46681024316229
141,93.09655863755283,109.46681024316229
142,93.09200164336485,109.46681024316229
143,93.06801025507785,109.46681024316229
144,93.05626231616085,109.46681024316229
145,92.70542112751389,109.46681024316229
146,92.70166345566267,109.46681024316229
147,92.6998358736736,109.46681024316229
148,91.1553586829491,109.46681024316229
149,91.1432857692642,109.46681024316229
150,88.89890605159087,109.46681024316229
151,88.25551931865087,109.46681024316229
152,88.0825871823401,109.46681024316229
