世代,最良評価値
344,227.55271923653245
345,227.55271923653245
346,227.55271923653245
347,227.55271923653245
348,227.55271923653245
349,227.55271923653245
350,227.55271923653245
351,227.55271923653245
352,227.55271923653245
353,227.55271923653245
354,227.55271923653245
355,227.55271923653245
356,227.55271923653245
357,227.55271923653245
358,227.55271923653245
359,227.55271923653245
360,227.55271923653245
361,227.55271923653245
362,227.55271923653245
363,227.55271923653245
364,227.55271923653245
365,227.55271923653245
366,227.55271923653245
367,227.55271923653245
368,227.55271923653245
369,227.55271923653245
370,227.55271923653245
371,227.55271923653245
372,227.55271923653245
373,227.55271923653245
374,227.55271923653245
375,227.55271923653245
376,227.55271923653245
377,227.55271923653245
378,227.55271923653245
379,227.55271923653245
380,227.55271923653245
381,227.55271923653245
382,227.55271923653245
383,227.55271923653245
384,227.55271923653245
385,227.55271923653245
386,227.55271923653245
387,227.55271923653245
388,227.55271923653245
389,227.55271923653245
390,227.55271923653245
391,227.55271923653245
392,227.55271923653245
393,227.55271923653245
394,227.55271923653245
395,227.55271923653245
396,227.55271923653245
397,227.55271923653245
398,227.55271923653245
399,227.55271923653245
400,227.55271923653245
401,227.55271923653245
402,227.55271923653245
403,227.55271923653245
404,227.55271923653245
405,227.55271923653245
406,227.55271923653245
407,227.55271923653245
408,227.55271923653245
409,227.55271923653245
410,227.55271923653245
411,227.55271923653245
412,227.55271923653245
413,227.55271923653245
414,227.55271923653245
415,227.55271923653245
416,227.55271923653245
417,227.55271923653245
418,227.55271923653245
419,227.55271923653245
420,227.55271923653245
421,227.55271923653245
422,227.55271923653245
423,227.55271923653245
424,227.55271923653245
425,227.55271923653245
426,227.55271923653245
427,227.55271923653245
428,227.55271923653245
429,227.55271923653245
430,227.55271923653245
431,227.55271923653245
432,227.55271923653245
433,227.55271923653245
434,227.55271923653245
435,227.55271923653245
436,227.55271923653245
437,227.55271923653245
438,227.55271923653245
439,227.55271923653245
440,227.55271923653245
441,227.55271923653245
442,227.55271923653245
443,227.55271923653245
444,227.55271923653245
445,227.55271923653245
446,227.55271923653245
447,227.55271923653245
448,227.55271923653245
449,227.55271923653245
450,227.55271923653245
451,227.55271923653245
452,227.55271923653245
453,227.55271923653245
454,227.55271923653245
455,227.55271923653245
456,227.55271923653245
457,227.55271923653245
458,227.55271923653245
459,227.55271923653245
460,227.55271923653245
461,227.55271923653245
462,227.55271923653245
463,227.55271923653245
464,227.55271923653245
465,227.55271923653245
466,227.55271923653245
467,227.55271923653245
468,227.55271923653245
469,227.55271923653245
470,227.55271923653245
471,227.55271923653245
472,227.55271923653245
473,227.55271923653245
474,227.55271923653245
475,227.55271923653245
476,227.55271923653245
477,227.55271923653245
478,227.55271923653245
479,227.55271923653245
480,227.55271923653245
481,227.55271923653245
482,227.55271923653245
483,227.55271923653245
484,227.55271923653245
485,227.55271923653245
486,227.55271923653245
487,227.55271923653245
488,227.55271923653245
489,227.55271923653245
490,227.55271923653245
491,227.55271923653245
492,227.55271923653245
493,227.55271923653245
494,227.55271923653245
495,227.55271923653245
496,227.55271923653245
497,227.55271923653245
498,227.55271923653245
499,227.55271923653245
500,227.55271923653245
501,227.55271923653245
502,227.55271923653245
503,227.55271923653245
504,227.55271923653245
505,227.55271923653245
506,227.55271923653245
507,227.55271923653245
508,227.55271923653245
509,227.55271923653245
510,227.55271923653245
511,227.55271923653245
512,227.55271923653245
513,227.55271923653245
514,227.55271923653245
515,227.55271923653245
516,227.55271923653245
517,227.55271923653245
518,227.55271923653245
519,227.55271923653245
520,227.55271923653245
521,227.55271923653245
522,227.55271923653245
523,227.55271923653245
524,227.55271923653245
525,227.55271923653245
526,227.55271923653245
527,227.55271923653245
528,227.55271923653245
529,227.55271923653245
530,227.55271923653245
531,227.55271923653245
532,227.55271923653245
533,227.55271923653245
534,227.55271923653245
535,227.55271923653245
536,227.55271923653245
537,227.55271923653245
538,227.55271923653245
539,227.55271923653245
540,227.55271923653245
541,227.55271923653245
542,227.55271923653245
543,227.55271923653245
544,227.55271923653245
545,227.55271923653245
546,227.55271923653245
547,227.55271923653245
548,227.55271923653245
549,227.55271923653245
550,227.55271923653245
551,227.55271923653245
552,227.55271923653245
553,227.55271923653245
554,227.55271923653245
555,227.55271923653245
556,227.55271923653245
557,227.55271923653245
558,227.55271923653245
559,227.55271923653245
560,227.55271923653245
561,227.55271923653245
562,227.55271923653245
563,227.55271923653245
564,227.55271923653245
565,227.55271923653245
566,227.55271923653245
567,227.55271923653245
568,227.55271923653245
569,227.55271923653245
570,227.55271923653245
571,227.55271923653245
572,227.55271923653245
573,227.55271923653245
574,227.55271923653245
575,227.55271923653245
576,227.55271923653245
577,227.55271923653245
578,227.55271923653245
579,227.55271923653245
580,227.55271923653245
581,227.55271923653245
582,227.55271923653245
583,227.55271923653245
584,227.55271923653245
585,227.55271923653245
586,227.55271923653245
587,227.55271923653245
588,227.55271923653245
589,227.55271923653245
590,227.55271923653245
591,227.55271923653245
592,227.55271923653245
593,227.55271923653245
594,227.55271923653245
595,227.55271923653245
596,227.55271923653245
597,227.55271923653245
598,227.55271923653245
599,227.55271923653245
600,227.55271923653245
601,227.55271923653245
602,227.55271923653245
603,227.55271923653245
604,227.55271923653245
605,227.55271923653245
606,227.55271923653245
607,227.55271923653245
608,227.55271923653245
609,227.55271923653245
610,227.55271923653245
611,227.55271923653245
612,227.55271923653245
613,227.55271923653245
614,227.55271923653245
615,227.55271923653245
616,227.55271923653245
617,227.55271923653245
618,227.55271923653245
619,227.55271923653245
620,227.55271923653245
621,227.55271923653245
622,227.55271923653245
623,227.55271923653245
624,227.55271923653245
625,227.55271923653245
626,227.55271923653245
627,227.55271923653245
628,227.55271923653245
629,227.55271923653245
630,227.55271923653245
631,227.55271923653245
632,227.55271923653245
633,227.55271923653245
634,227.55271923653245
635,227.55271923653245
636,227.55271923653245
637,227.55271923653245
638,227.55271923653245
639,227.55271923653245
640,227.55271923653245
641,227.55271923653245
642,227.55271923653245
643,227.55271923653245
644,227.55271923653245
645,227.55271923653245
646,227.55271923653245
647,227.55271923653245
648,227.55271923653245
649,227.55271923653245
650,227.55271923653245
651,227.55271923653245
652,227.55271923653245
653,227.55271923653245
654,227.55271923653245
655,227.55271923653245
656,227.55271923653245
657,227.55271923653245
658,227.55271923653245
659,227.55271923653245
660,227.55271923653245
661,227.55271923653245
662,227.55271923653245
663,227.55271923653245
664,227.55271923653245
665,227.55271923653245
666,227.55271923653245
667,227.55271923653245
668,227.55271923653245
669,227.55271923653245
670,227.55271923653245
671,227.55271923653245
672,227.55271923653245
673,227.55271923653245
674,227.55271923653245
675,227.55271923653245
676,227.55271923653245
677,227.55271923653245
678,227.55271923653245
679,227.55271923653245
680,227.55271923653245
681,227.55271923653245
682,227.55271923653245
683,227.55271923653245
684,227.55271923653245
685,227.55271923653245
686,227.55271923653245
687,227.55271923653245
688,227.55271923653245
689,227.55271923653245
690,227.55271923653245
691,227.55271923653245
692,227.55271923653245
693,227.55271923653245
694,227.55271923653245
695,227.55271923653245
696,227.55271923653245
697,227.55271923653245
698,227.55271923653245
699,227.55271923653245
700,227.55271923653245
701,227.55271923653245
702,227.55271923653245
703,227.55271923653245
704,227.55271923653245
705,227.55271923653245
706,227.55271923653245
707,227.55271923653245
708,227.55271923653245
709,227.55271923653245
710,227.55271923653245
711,227.55271923653245
712,227.55271923653245
713,227.55271923653245
714,227.55271923653245
715,227.55271923653245
716,227.55271923653245
717,227.55271923653245
718,227.55271923653245
719,227.55271923653245
720,227.55271923653245
721,227.55271923653245
722,227.55271923653245
723,227.55271923653245
724,227.55271923653245
725,227.55271923653245
726,227.55271923653245
727,227.55271923653245
728,227.55271923653245
729,227.55271923653245
730,227.55271923653245
731,227.55271923653245
732,227.55271923653245
733,227.55271923653245
734,227.55271923653245
735,227.55271923653245
736,227.55271923653245
737,227.55271923653245
738,227.55271923653245
739,227.55271923653245
740,227.55271923653245
741,227.55271923653245
742,227.55271923653245
743,227.55271923653245
744,227.55271923653245
745,227.55271923653245
746,227.55271923653245
747,227.55271923653245
748,227.55271923653245
749,227.55271923653245
750,227.55271923653245
751,227.55271923653245
752,227.55271923653245
753,227.55271923653245
754,227.55271923653245
755,227.55271923653245
756,227.55271923653245
757,227.55271923653245
758,227.55271923653245
759,227.55271923653245
760,227.55271923653245
761,227.55271923653245
762,227.55271923653245
763,227.55271923653245
764,227.55271923653245
