世代,kadai2 固定 w=0.75 平均,kadai5 LDIWM
463,55.746386639913204,29.693219772823642
464,55.746386627253024,29.681446938998967
465,55.746386617758034,29.677847689915847
466,55.74638661063686,29.67230513029877
467,55.74638660529602,29.65936746935854
468,55.742249716159755,29.6370391503976
469,55.74224971315556,29.631049489256604
470,55.42597005848887,29.60909134662993
471,55.415069137594585,29.605016704212524
472,55.415069136327205,29.60249660558581
473,55.415069135376655,29.590744400530326
474,55.41506913466376,29.588793538853167
475,55.38568364557706,29.472673551288217
476,55.38568364517604,29.461572394387208
477,55.38568364487528,29.43774651159862
478,55.38568364464972,29.428246914964557
479,55.057666664019415,29.421322559356934
480,55.05766666389253,29.41994751073829
481,55.05766666379736,29.41871686614048
482,55.057666663726,29.29183592757189
483,55.053148832735054,29.157671059652
484,55.0531488326949,29.137783190408328
485,55.02376669570465,29.118551513095035
486,55.00980945946718,29.109765363476516
487,55.00980945945025,29.094427678846593
488,55.00980945943754,29.070994484659927
489,54.98296046522447,28.868000350839246
490,54.98296046521733,28.86154598794952
491,54.98296046521197,28.852290447072743
492,54.752550206735336,28.730602528023702
493,54.752550206732316,28.727683995794983
494,54.752550206730064,28.713774455087865
495,54.75255020672837,28.71036396984627
496,54.75255020672709,28.69349823904024
497,54.744998243158854,28.69349529939232
498,54.74299656631341,28.692377794353064
499,54.615475238486816,28.62924865039819
500,54.61094450628126,28.625095251421108
501,54.61094450628095,28.620708446710893
502,54.563232079101304,28.522512526756714
503,54.55399602031032,28.507980615591656
504,54.54764775096908,28.50185034102198
505,54.37610865633049,28.43693284774299
506,54.37296744910176,28.431285522396944
507,54.37071551057261,28.42829049240894
508,54.36908511941088,28.42447829595134
509,54.36789529996965,28.415229652222713
510,54.36702149627778,28.41448831738943
511,54.36637658932214,28.395543443099875
512,54.36589878705553,28.388243152218827
513,54.36554374260288,28.27981470338769
514,54.36527931996369,28.254094191622073
515,54.33919900785871,28.217771975668267
516,54.339051644113724,28.217771975668267
517,54.3389414525828,28.217771975668267
518,54.33885899528981,28.21663144025028
519,54.33879725714968,28.216248007977715
520,54.33875101251324,28.206980135033426
521,54.338716362206625,28.18195966792979
522,54.33869039313557,28.175024599953314
523,54.33867092682806,28.16677330549738
524,54.27206845598056,28.155718392937565
525,54.27205751393152,28.136312172261796
526,54.23315990430859,28.127523457573517
527,53.898555185062335,28.106459586614193
528,53.898550571315354,28.089892813471288
529,53.89854711133761,28.085769273814527
530,53.8985445165413,28.07380372762217
531,53.89854257054928,28.05872871319837
532,53.898541111114454,28.051345082125994
533,53.8985400165716,28.02650343369
534,53.8985391956832,28.012201670324238
535,53.89853858002742,27.988495941748205
536,53.89853811829151,27.985053792953874
537,53.55924658216922,27.958956202171624
538,53.55924632244715,27.95408163917956
539,53.55924612765665,27.948248554220037
540,53.408401931748095,27.943065298386568
541,53.204442112022775,27.931531033037356
542,53.204442029846305,27.929185356107837
