世代,0,1,2,3,4,5,6,7,8,9
58,8850.029758514684,7664.2925235030725,10564.914581091958,11633.915652149208,11151.57371383516,14772.730313122265,16815.901277796795,19049.52733051818,15920.523454286871,13695.511955992379
59,8850.029758514684,7664.2925235030725,10564.914581091958,11633.915652149208,11151.57371383516,13988.703242380869,16815.901277796795,19049.52733051818,15920.523454286871,13695.511955992379
60,8850.029758514684,7664.2925235030725,10564.914581091958,11633.915652149208,11151.57371383516,13988.703242380869,16815.901277796795,19049.52733051818,15920.523454286871,13695.511955992379
61,8850.029758514684,7664.2925235030725,10564.914581091958,11633.915652149208,11151.57371383516,13988.703242380869,16815.901277796795,19049.52733051818,15920.523454286871,13695.511955992379
62,8850.029758514684,7664.2925235030725,10564.914581091958,9425.103054834122,11151.57371383516,13988.703242380869,16815.901277796795,19049.52733051818,15920.523454286871,13695.511955992379
63,8850.029758514684,7664.2925235030725,10564.914581091958,9425.103054834122,11151.57371383516,13988.703242380869,11223.44273331357,16114.165485612963,15717.648280085627,13695.511955992379
64,8850.029758514684,7664.2925235030725,10564.914581091958,9425.103054834122,11151.57371383516,13988.703242380869,11223.44273331357,16114.165485612963,15717.648280085627,13695.511955992379
65,8850.029758514684,7664.2925235030725,7284.429935439317,9425.103054834122,11151.57371383516,13988.703242380869,11223.44273331357,15075.063636707651,15717.648280085627,13695.511955992379
66,8850.029758514684,7664.2925235030725,7284.429935439317,9425.103054834122,11151.57371383516,13988.703242380869,11223.44273331357,15075.063636707651,15717.648280085627,13695.511955992379
67,8850.029758514684,7664.2925235030725,7284.429935439317,9425.103054834122,11151.57371383516,13988.703242380869,11223.44273331357,15075.063636707651,15717.648280085627,13695.511955992379
68,8850.029758514684,7664.2925235030725,7284.429935439317,9425.103054834122,11151.57371383516,13988.703242380869,11223.44273331357,15075.063636707651,15717.648280085627,13695.511955992379
69,8850.029758514684,7664.2925235030725,7284.429935439317,9425.103054834122,11151.57371383516,13988.703242380869,11223.44273331357,15075.063636707651,11769.627725987155,13695.511955992379
70,8850.029758514684,7664.2925235030725,7012.292550158653,9425.103054834122,7830.083511607284,13988.703242380869,11223.44273331357,15075.063636707651,11769.627725987155,13695.511955992379
71,8850.029758514684,7664.2925235030725,7012.292550158653,9425.103054834122,7830.083511607284,13271.413452204732,11223.44273331357,15075.063636707651,11769.627725987155,13695.511955992379
72,8850.029758514684,7664.2925235030725,7012.292550158653,9425.103054834122,7830.083511607284,12327.173092541309,11223.44273331357,15075.063636707651,11769.627725987155,13695.511955992379
73,8850.029758514684,7591.861359401651,7012.292550158653,9425.103054834122,7830.083511607284,12327.173092541309,11223.44273331357,15075.063636707651,11769.627725987155,13695.511955992379
74,8850.029758514684,7591.861359401651,7012.292550158653,9425.103054834122,7702.535629340119,12327.173092541309,11223.44273331357,15075.063636707651,11769.627725987155,12354.09663928444
75,8850.029758514684,7591.861359401651,7012.292550158653,9425.103054834122,7702.535629340119,12327.173092541309,11223.44273331357,15075.063636707651,11769.627725987155,12354.09663928444
76,8850.029758514684,7591.861359401651,7012.292550158653,9425.103054834122,7702.535629340119,12327.173092541309,11223.44273331357,15075.063636707651,10574.511676751685,12354.09663928444
77,8850.029758514684,7591.861359401651,7012.292550158653,9425.103054834122,7702.535629340119,12327.173092541309,11223.44273331357,15075.063636707651,10574.511676751685,11467.741671425087
78,8850.029758514684,7591.861359401651,7012.292550158653,9425.103054834122,7702.535629340119,12327.173092541309,11223.44273331357,15075.063636707651,10574.511676751685,11467.741671425087
79,8850.029758514684,7591.861359401651,7012.292550158653,9425.103054834122,6004.420705461699,12327.173092541309,11223.44273331357,15075.063636707651,10574.511676751685,11467.741671425087
80,7471.762003285257,7591.861359401651,7012.292550158653,9425.103054834122,6004.420705461699,12327.173092541309,11223.44273331357,15075.063636707651,10574.511676751685,11467.741671425087
81,7471.762003285257,7591.861359401651,7012.292550158653,9425.103054834122,6004.420705461699,12327.173092541309,11223.44273331357,15075.063636707651,10397.453408749274,11467.741671425087
82,7471.762003285257,7591.861359401651,7012.292550158653,9425.103054834122,6004.420705461699,12136.996016858078,11223.44273331357,15075.063636707651,10397.453408749274,11467.741671425087
83,7471.762003285257,7591.861359401651,7012.292550158653,9425.103054834122,6004.420705461699,12136.996016858078,11223.44273331357,15075.063636707651,9959.68969195439,11467.741671425087
